DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 6,Departure,Domestic,182833
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 6,Departure,International,3839
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 7,Arrival,Domestic,226341
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 7,Arrival,International,29077
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 7,Departure,Domestic,224219
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 7,Departure,International,37687
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 8,Arrival,Domestic,102735
2014-05-01T00:00:00,2006-02-01T00:00:00,Terminal 8,Departure,Domestic,99663
2014-05-01T00:00:00,2006-02-01T00:00:00,Tom Bradley International Terminal,Arrival,Domestic,2239
2014-05-01T00:00:00,2006-02-01T00:00:00,Tom Bradley International Terminal,Arrival,International,323229
2014-05-01T00:00:00,2006-02-01T00:00:00,Tom Bradley International Terminal,Departure,International,301949
2014-05-01T00:00:00,2006-03-01T00:00:00,Imperial Terminal,Arrival,Domestic,200
2014-05-01T00:00:00,2006-03-01T00:00:00,Imperial Terminal,Departure,Domestic,210
2014-05-01T00:00:00,2006-03-01T00:00:00,Misc. Terminal,Arrival,Domestic,727
2014-05-01T00:00:00,2006-03-01T00:00:00,Misc. Terminal,Departure,Domestic,601
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 1,Arrival,Domestic,425575
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 1,Departure,Domestic,430774
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 1,Departure,International,602
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 2,Arrival,Domestic,104482
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 2,Arrival,International,152411
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 2,Departure,Domestic,105012
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 2,Departure,International,151851
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 3,Arrival,Domestic,139916
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 3,Arrival,International,26501
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 3,Departure,Domestic,137800
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 3,Departure,International,66573
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 4,Arrival,Domestic,402709
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 4,Arrival,International,71866
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 4,Departure,Domestic,413534
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 4,Departure,International,40511
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 5,Arrival,Domestic,157999
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 5,Arrival,International,26383
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 5,Departure,Domestic,163103
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 5,Departure,International,25504
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 6,Arrival,Domestic,211470
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 6,Arrival,International,6613
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 6,Departure,Domestic,215690
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 6,Departure,International,4583
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 7,Arrival,Domestic,272761
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 7,Arrival,International,36015
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 7,Departure,Domestic,280632
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 7,Departure,International,43017
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 8,Arrival,Domestic,123912
2014-05-01T00:00:00,2006-03-01T00:00:00,Terminal 8,Departure,Domestic,121600
2014-05-01T00:00:00,2006-03-01T00:00:00,Tom Bradley International Terminal,Arrival,Domestic,2350
2014-05-01T00:00:00,2006-03-01T00:00:00,Tom Bradley International Terminal,Arrival,International,379129
2014-05-01T00:00:00,2006-03-01T00:00:00,Tom Bradley International Terminal,Departure,International,347678
2014-05-01T00:00:00,2006-04-01T00:00:00,Imperial Terminal,Arrival,Domestic,545
2014-05-01T00:00:00,2006-04-01T00:00:00,Imperial Terminal,Departure,Domestic,445
2014-05-01T00:00:00,2006-04-01T00:00:00,Misc. Terminal,Arrival,Domestic,512
2014-05-01T00:00:00,2006-04-01T00:00:00,Misc. Terminal,Departure,Domestic,426
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 1,Arrival,Domestic,435996
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 1,Departure,Domestic,439128
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 1,Departure,International,811
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 2,Arrival,Domestic,100241
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 2,Arrival,International,154905
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 2,Departure,Domestic,103348
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 2,Departure,International,147160
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 3,Arrival,Domestic,131026
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 3,Arrival,International,25800
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 3,Departure,Domestic,137904
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 3,Departure,International,66570
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 4,Arrival,Domestic,408030
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 4,Arrival,International,66472
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 4,Departure,Domestic,413701
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 4,Departure,International,45322
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 5,Arrival,Domestic,156099
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 5,Arrival,International,28977
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 5,Departure,Domestic,158133
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 5,Departure,International,28241
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 6,Arrival,Domestic,211819
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 6,Arrival,International,9870
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 6,Departure,Domestic,223222
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 6,Departure,International,5810
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 7,Arrival,Domestic,269491
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 7,Arrival,International,33734
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 7,Departure,Domestic,270784
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 7,Departure,International,39491
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 8,Arrival,Domestic,111821
2014-05-01T00:00:00,2006-04-01T00:00:00,Terminal 8,Departure,Domestic,108348
2014-05-01T00:00:00,2006-04-01T00:00:00,Tom Bradley International Terminal,Arrival,Domestic,2021
2014-05-01T00:00:00,2006-04-01T00:00:00,Tom Bradley International Terminal,Arrival,International,412808
2014-05-01T00:00:00,2006-04-01T00:00:00,Tom Bradley International Terminal,Departure,International,338863
2014-05-01T00:00:00,2006-05-01T00:00:00,Imperial Terminal,Arrival,Domestic,210
2014-05-01T00:00:00,2006-05-01T00:00:00,Imperial Terminal,Arrival,International,54
2014-05-01T00:00:00,2006-05-01T00:00:00,Imperial Terminal,Departure,Domestic,229
2014-05-01T00:00:00,2006-05-01T00:00:00,Imperial Terminal,Departure,International,45
2014-05-01T00:00:00,2006-05-01T00:00:00,Misc. Terminal,Arrival,Domestic,286
2014-05-01T00:00:00,2006-05-01T00:00:00,Misc. Terminal,Departure,Domestic,254
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 1,Arrival,Domestic,449152
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 1,Departure,Domestic,435464
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 1,Departure,International,577
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 2,Arrival,Domestic,103178
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 2,Arrival,International,154867
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 2,Departure,Domestic,102882
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 2,Departure,International,160172
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 3,Arrival,Domestic,141814
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 3,Arrival,International,21559
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 3,Departure,Domestic,145835
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 3,Departure,International,56538
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 4,Arrival,Domestic,421319
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 4,Arrival,International,63381
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 4,Departure,Domestic,416106
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 4,Departure,International,49805
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 5,Arrival,Domestic,150001
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 5,Arrival,International,29699
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 5,Departure,Domestic,146731
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 5,Departure,International,28671
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 6,Arrival,Domestic,218606
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 6,Arrival,International,4187
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 6,Departure,Domestic,219638
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 6,Departure,International,5009
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 7,Arrival,Domestic,278391
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 7,Arrival,International,32810
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 7,Departure,Domestic,278511
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 7,Departure,International,36643
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 8,Arrival,Domestic,118195
2014-05-01T00:00:00,2006-05-01T00:00:00,Terminal 8,Departure,Domestic,113395
2014-05-01T00:00:00,2006-05-01T00:00:00,Tom Bradley International Terminal,Arrival,Domestic,2944
2014-05-01T00:00:00,2006-05-01T00:00:00,Tom Bradley International Terminal,Arrival,International,403756
2014-05-01T00:00:00,2006-05-01T00:00:00,Tom Bradley International Terminal,Departure,International,386494
2014-05-01T00:00:00,2006-06-01T00:00:00,Imperial Terminal,Arrival,Domestic,25
2014-05-01T00:00:00,2006-06-01T00:00:00,Imperial Terminal,Departure,Domestic,74
2014-05-01T00:00:00,2006-06-01T00:00:00,Misc. Terminal,Arrival,Domestic,5
2014-05-01T00:00:00,2006-06-01T00:00:00,Misc. Terminal,Departure,Domestic,66
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 1,Arrival,Domestic,459302
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 1,Departure,Domestic,460256
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 1,Departure,International,652
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 2,Arrival,Domestic,108894
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 2,Arrival,International,156867
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 2,Departure,Domestic,112702
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 2,Departure,International,175532
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 3,Arrival,Domestic,159549
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 3,Arrival,International,19948
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 3,Departure,Domestic,162854
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 3,Departure,International,52990
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 4,Arrival,Domestic,428312
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 4,Arrival,International,67925
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 4,Departure,Domestic,436887
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 4,Departure,International,53056
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 5,Arrival,Domestic,174320
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 5,Arrival,International,25471
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 5,Departure,Domestic,182546
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 5,Departure,International,32616
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 6,Arrival,Domestic,232429
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 6,Arrival,International,9126
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 6,Departure,Domestic,238648
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 6,Departure,International,5648
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 7,Arrival,Domestic,296558
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 7,Arrival,International,34183
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 7,Departure,Domestic,304254
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 7,Departure,International,47960
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 8,Arrival,Domestic,118608
2014-05-01T00:00:00,2006-06-01T00:00:00,Terminal 8,Departure,Domestic,115685
2014-05-01T00:00:00,2006-06-01T00:00:00,Tom Bradley International Terminal,Arrival,Domestic,2824
2014-05-01T00:00:00,2006-06-01T00:00:00,Tom Bradley International Terminal,Arrival,International,413444
2014-05-01T00:00:00,2006-06-01T00:00:00,Tom Bradley International Terminal,Departure,International,419807
2014-05-01T00:00:00,2006-07-01T00:00:00,Imperial Terminal,Arrival,Domestic,89
2014-05-01T00:00:00,2006-07-01T00:00:00,Imperial Terminal,Departure,Domestic,88
2014-05-01T00:00:00,2006-07-01T00:00:00,Misc. Terminal,Arrival,Domestic,5
2014-05-01T00:00:00,2006-07-01T00:00:00,Misc. Terminal,Arrival,International,4
2014-05-01T00:00:00,2006-07-01T00:00:00,Misc. Terminal,Departure,Domestic,8
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 1,Arrival,Domestic,469516
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 1,Departure,Domestic,468038
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 1,Departure,International,784
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 2,Arrival,Domestic,120213
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 2,Arrival,International,191247
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 2,Departure,Domestic,121663
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 2,Departure,International,188679
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 3,Arrival,Domestic,181198
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 3,Arrival,International,25029
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 3,Departure,Domestic,185292
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 3,Departure,International,56763
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 4,Arrival,Domestic,460367
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 4,Arrival,International,64509
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 4,Departure,Domestic,456673
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 4,Departure,International,55251
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 5,Arrival,Domestic,196803
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 5,Arrival,International,36064
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 5,Departure,Domestic,195215
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 5,Departure,International,44069
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 6,Arrival,Domestic,269170
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 6,Arrival,International,13247
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 6,Departure,Domestic,266116
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 6,Departure,International,9219
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 7,Arrival,Domestic,305257
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 7,Arrival,International,38300
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 7,Departure,Domestic,303306
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 7,Departure,International,49922
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 8,Arrival,Domestic,117910
2014-05-01T00:00:00,2006-07-01T00:00:00,Terminal 8,Departure,Domestic,116863
2014-05-01T00:00:00,2006-07-01T00:00:00,Tom Bradley International Terminal,Arrival,Domestic,2581
2014-05-01T00:00:00,2006-07-01T00:00:00,Tom Bradley International Terminal,Arrival,International,500009
2014-05-01T00:00:00,2006-07-01T00:00:00,Tom Bradley International Terminal,Departure,Domestic,210
2014-05-01T00:00:00,2006-07-01T00:00:00,Tom Bradley International Terminal,Departure,International,410046
2014-05-01T00:00:00,2006-08-01T00:00:00,Imperial Terminal,Arrival,Domestic,5
2014-05-01T00:00:00,2006-08-01T00:00:00,Imperial Terminal,Departure,Domestic,238
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 1,Arrival,Domestic,456601
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 1,Departure,Domestic,466636
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 1,Departure,International,694
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 2,Arrival,Domestic,115441
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 2,Arrival,International,192850
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 2,Departure,Domestic,117633
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 2,Departure,International,184788
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 3,Arrival,Domestic,187002
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 3,Arrival,International,26357
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 3,Departure,Domestic,189894
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 3,Departure,International,57395
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 4,Arrival,Domestic,437457
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 4,Arrival,International,60667
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 4,Departure,Domestic,444030
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 4,Departure,International,48169
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 5,Arrival,Domestic,184823
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 5,Arrival,International,36361
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 5,Departure,Domestic,188285
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 5,Departure,International,39815
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 6,Arrival,Domestic,249077
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 6,Arrival,International,9858
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 6,Departure,Domestic,264371
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 6,Departure,International,7255
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 7,Arrival,Domestic,297564
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 7,Arrival,International,30644
2014-05-01T00:00:00,2006-08-01T00:00:00,Terminal 7,Departure,Domestic,301232
